Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
2003,saltmarsh morning-glory,Ipomoea sagittata Poir.,18
2003,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,64
2003,seashore paspalum,Paspalum vaginatum Sw.,59
2003,seaside goldenrod,Solidago sempervirens L.,55
2003,seaside tansy,Borrichia Adans.,85
2003,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,28
2003,smooth cordgrass,Spartina alterniflora Loisel.,33
2003,smooth joyweed,Alternanthera paronychioides A. St.-Hil.,33
2003,southern amaranth,Amaranthus australis (A. Gray) Sauer,63
2003,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,30
2003,sweetscent,Pluchea odorata (L.) Cass.,51
2003,turkey tangle fogfruit,Phyla nodiflora (L.) Greene,75
2003,turtleweed,Batis maritima L.,35
2003,VIRGINIA GLASSWORT,Salicornia depressa Standl.,33
2003,wand lythrum,Lythrum lineare L.,14
2003,NA,NA,0
2004,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,15
2004,annual seepweed,Suaeda linearis (Elliott) Moq.,55
2004,Bare Ground,Bare Ground,5
2004,black mangrove,Avicennia germinans (L.) L.,46
2004,bulrush,Schoenoplectus (Rchb.) Palla,45
2004,bushy seaside tansy,Borrichia frutescens (L.) DC.,80
2004,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,52
2004,common threesquare,Schoenoplectus pungens (Vahl) Palla,7
2004,dwarf saltwort,Salicornia bigelovii Torr.,37
2004,eastern baccharis,Baccharis halimifolia L.,34
2004,fragrant flatsedge,Cyperus odoratus L.,74
2004,giant bristlegrass,Setaria magna Griseb.,88
2004,hairypod cowpea,Vigna luteola (Jacq.) Benth.,90
2004,herb of grace,Bacopa monnieri (L.) Pennell,52
2004,Jesuit's bark,Iva frutescens L.,86
2004,lavender thrift,Limonium carolinianum (Walter) Britton,80
2004,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,80
2004,needlegrass rush,Juncus roemerianus Scheele,90
2004,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,70
2004,saltgrass,Distichlis spicata (L.) Greene,58
2004,saltmarsh morning-glory,Ipomoea sagittata Poir.,95
2004,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,76
2004,seacoast marsh elder,Iva imbricata Walter,50
2004,seaside goldenrod,Solidago sempervirens L.,88
2004,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,30
2004,smooth cordgrass,Spartina alterniflora Loisel.,40
2004,southern amaranth,Amaranthus australis (A. Gray) Sauer,88
2004,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,71
2004,sweetscent,Pluchea odorata (L.) Cass.,88
2004,torpedo grass,Panicum repens L.,40
2004,turtleweed,Batis maritima L.,34
2004,Unknown #1,Unknown #1,60
2004,VIRGINIA GLASSWORT,Salicornia depressa Standl.,29
2004,NA,NA,0
2005,Bare Ground,Bare Ground,5
2005,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,40
2005,camphor pluchea,Pluchea camphorata (L.) DC.,40
2005,camphorweed,Pluchea Cass.,60
2005,cattail,Typha L.,60
2005,herb of grace,Bacopa monnieri (L.) Pennell,48
2005,Jesuit's bark,Iva frutescens L.,95
2005,needlegrass rush,Juncus roemerianus Scheele,64
2005,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,95
2005,saltgrass,Distichlis spicata (L.) Greene,38
2005,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,61
2005,smooth cordgrass,Spartina alterniflora Loisel.,47
2005,spikerush,Eleocharis R. Br.,55
2005,sprangletop,Leptochloa P. Beauv.,20
2005,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,43
2005,tamarisk,Tamarix L.,40
2005,torpedo grass,Panicum repens L.,30
2006,annual marsh elder,Iva annua L.,90
2006,annual seepweed,Suaeda linearis (Elliott) Moq.,48
2006,Bare Ground,Bare Ground,71
2006,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,25
2006,big cordgrass,Spartina cynosuroides (L.) Roth,75
2006,Bigelow's amaranth,Amaranthus bigelovii Uline & Bray,34
2006,bigpod sesbania,Sesbania herbacea (Mill.) McVaugh,48
2006,black mangrove,Avicennia germinans (L.) L.,71
2006,bulltongue arrowhead,Sagittaria lancifolia L.,39
2006,bushy seaside tansy,Borrichia frutescens (L.) DC.,40
2006,camphor pluchea,Pluchea camphorata (L.) DC.,51
2006,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,69
2006,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,54
2006,common reed,Phragmites australis (Cav.) Trin. ex Steud.,70
2006,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,60
2006,crested saltbush,Atriplex cristata Humb. & Bonpl. ex Willd.,72
2006,dodder,Cuscuta L.,95
2006,dogfennel,Eupatorium capillifolium (Lam.) Small,20
2006,dotted smartweed,Polygonum punctatum Elliott,2
2006,dwarf saltwort,Salicornia bigelovii Torr.,55
2006,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",37
2006,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,75
2006,eastern baccharis,Baccharis halimifolia L.,35
2006,false daisy,Eclipta prostrata (L.) L.,30
2006,flatsedge,Cyperus L.,14
2006,fragrant flatsedge,Cyperus odoratus L.,26
2006,French tamarisk,Tamarix gallica L.,82
2006,giant bristlegrass,Setaria magna Griseb.,13
2006,hairypod cowpea,Vigna luteola (Jacq.) Benth.,49
2006,herb of grace,Bacopa monnieri (L.) Pennell,30
2006,Jesuit's bark,Iva frutescens L.,53
2006,knotgrass,Paspalum distichum L.,12
2006,lesser creeping rush,Juncus repens Michx.,45
2006,maidencane,Panicum hemitomon Schult.,20
2006,Mexican tea,Dysphania ambrosioides (L.) Mosyakin & Clemants,55
2006,morning-glory,Ipomoea L.,20
2006,needlegrass rush,Juncus roemerianus Scheele,73
2006,Open Water,Water,67
2006,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,61
2006,prairie cordgrass,Spartina pectinata Bosc ex Link,75
2006,reedgrass,Calamagrostis Adans.,50
2006,salt heliotrope,Heliotropium curassavicum L.,47
2006,saltgrass,Distichlis spicata (L.) Greene,68
2006,saltmarsh morning-glory,Ipomoea sagittata Poir.,58
2006,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,70
2006,seashore dropseed,Sporobolus virginicus (L.) Kunth,55
2006,seashore paspalum,Paspalum vaginatum Sw.,25
2006,seaside goldenrod,Solidago sempervirens L.,86
2006,sedge,Carex L.,95
2006,seven sisters,Crinum americanum L.,40
2006,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,69
2006,silverhead,Blutaparon vermiculare (L.) Mears,78
2006,smooth cordgrass,Spartina alterniflora Loisel.,73
2006,southern amaranth,Amaranthus australis (A. Gray) Sauer,49
2006,spikerush,Eleocharis R. Br.,45
2006,stinking camphorweed,Pluchea foetida (L.) DC.,85
2006,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,53
2006,sweetscent,Pluchea odorata (L.) Cass.,46
2006,tidalmarsh amaranth,Amaranthus cannabinus (L.) Sauer,85
2006,turtleweed,Batis maritima L.,46
2006,turtleweed,Batis P. Br.,78
2006,Unknown #1,Unknown #1,90
2006,Unknown #2,Unknown #2,29
2006,Unknown #4,Unknown #4,35
2006,VIRGINIA GLASSWORT,Salicornia depressa Standl.,79
2006,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,70
2006,wand lythrum,Lythrum lineare L.,49
2007,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,68
2007,annual marsh elder,Iva annua L.,100
2007,annual seepweed,Suaeda linearis (Elliott) Moq.,71
2007,Bare Ground,Bare Ground,37
2007,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,72
2007,bayhops,Ipomoea pes-caprae (L.) R. Br.,75
2007,beach morning-glory,Ipomoea imperati (Vahl) Griseb.,20
2007,big cordgrass,Spartina cynosuroides (L.) Roth,71
2007,bigpod sesbania,Sesbania herbacea (Mill.) McVaugh,95
2007,bigseed alfalfa dodder,Cuscuta indecora Choisy,80
2007,bitter panicgrass,Panicum amarum Elliott,47
2007,black mangrove,Avicennia germinans (L.) L.,69
2007,bulltongue arrowhead,Sagittaria lancifolia L.,67
2007,bushy seaside tansy,Borrichia frutescens (L.) DC.,56
2007,camphor daisy,Rayjacksonia phyllocephala (DC.) R.L. Hartm. & M.A. Lane,15
2007,camphor pluchea,Pluchea camphorata (L.) DC.,95
2007,camphorweed,Heterotheca subaxillaris (Lam.) Britton & Rusby,45
2007,catchfly prairie gentian,Eustoma exaltatum (L.) Salisb. ex G. Don,72
2007,cattail,Typha L.,92
2007,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,76
2007,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,80
2007,common reed,Phragmites australis (Cav.) Trin. ex Steud.,79
2007,common threesquare,Schoenoplectus pungens (Vahl) Palla,68
2007,crested saltbush,Atriplex cristata Humb. & Bonpl. ex Willd.,80
2007,dixie sandmat,Chamaesyce bombensis (Jacq.) Dugand,5
2007,dogfennel,Eupatorium capillifolium (Lam.) Small,90
2007,dotted smartweed,Polygonum punctatum Elliott,81
2007,dwarf saltwort,Salicornia bigelovii Torr.,44
2007,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,79
2007,eastern baccharis,Baccharis halimifolia L.,75
2007,fall panicgrass,Panicum dichotomiflorum Michx.,60
2007,false daisy,Eclipta prostrata (L.) L.,40
2007,fern flatsedge,Cyperus filicinus Vahl,85
2007,fragrant flatsedge,Cyperus odoratus L.,88
2007,giant bristlegrass,Setaria magna Griseb.,43
2007,Gregg's amaranth,Amaranthus greggii S. Watson,70
2007,gulf croton,Croton punctatus Jacq.,17
2007,hairypod cowpea,Vigna luteola (Jacq.) Benth.,64
2007,herb of grace,Bacopa monnieri (L.) Pennell,75
2007,hilograss,Paspalum conjugatum P.J. Bergius,90
2007,Jesuit's bark,Iva frutescens L.,73
2007,knotgrass,Paspalum distichum L.,64
2007,lavender thrift,Limonium carolinianum (Walter) Britton,90
2007,Malabar sprangletop,Leptochloa fusca (L.) Kunth,65
2007,marsh bristlegrass,Setaria parviflora (Poir.) Kergu?len,85
2007,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,61
2007,narrowleaf rose gentian,Sabatia brachiata Elliott,40
2007,needlegrass rush,Juncus roemerianus Scheele,76
2007,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,80
2007,pigweed,Amaranthus L.,88
2007,poisonbean,Sesbania drummondii (Rydb.) Cory,80
2007,red lovegrass,Eragrostis secundiflora J. Presl,45
2007,salt heliotrope,Heliotropium curassavicum L.,50
2007,saltgrass,Distichlis spicata (L.) Greene,75
2007,saltmarsh morning-glory,Ipomoea sagittata Poir.,70
2007,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,75
2007,seashore dropseed,Sporobolus virginicus (L.) Kunth,72
2007,seashore paspalum,Paspalum vaginatum Sw.,55
2007,seaside goldenrod,Solidago sempervirens L.,38
2007,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,65
2007,silverhead,Blutaparon vermiculare (L.) Mears,77
2007,slender wedgescale,Sphenopholis intermedia (Rydb.) Rydb.,10
2007,smooth cordgrass,Spartina alterniflora Loisel.,75
2007,smooth joyweed,Alternanthera paronychioides A. St.-Hil.,70
2007,southern amaranth,Amaranthus australis (A. Gray) Sauer,63
2007,spikerush,Eleocharis R. Br.,85
2007,strawcolored flatsedge,Cyperus strigosus L.,80
2007,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,66
2007,swamp smartweed,Polygonum hydropiperoides Michx.,90
2007,sweetscent,Pluchea odorata (L.) Cass.,73
2007,tidalmarsh amaranth,Amaranthus cannabinus (L.) Sauer,70
2007,torpedo grass,Panicum repens L.,55
2007,trailing fuzzybean,Strophostyles helvola (L.) Elliott,56
2007,turkey tangle fogfruit,Phyla nodiflora (L.) Greene,10
2007,turtleweed,Batis maritima L.,54
2007,Unknown,Unknown,65
2007,VIRGINIA GLASSWORT,Salicornia depressa Standl.,84
2007,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,85
2007,wand lythrum,Lythrum lineare L.,74
2008,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,78
2008,American cupscale,Sacciolepis striata (L.) Nash,75
2008,annual seepweed,Suaeda linearis (Elliott) Moq.,82
2008,big cordgrass,Spartina cynosuroides (L.) Roth,71
2008,black mangrove,Avicennia germinans (L.) L.,76
2008,broadleaf cattail,Typha latifolia L.,75
2008,bushy seaside tansy,Borrichia frutescens (L.) DC.,62
2008,camphor pluchea,Pluchea camphorata (L.) DC.,73
2008,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,77
2008,climbing hempvine,Mikania scandens (L.) Willd.,68
2008,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,77
2008,cockspur grass,Echinochloa P. Beauv.,60
2008,common reed,Phragmites australis (Cav.) Trin. ex Steud.,71
2008,common threesquare,Schoenoplectus pungens (Vahl) Palla,62
2008,cordgrass,Spartina Schreb.,88
2008,crowngrass,Paspalum L.,95
2008,dotted smartweed,Polygonum punctatum Elliott,55
2008,dwarf palmetto,Sabal minor (Jacq.) Pers.,95
2008,dwarf saltwort,Salicornia bigelovii Torr.,82
2008,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",67
2008,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,72
2008,eastern baccharis,Baccharis halimifolia L.,80
2008,eastern grasswort,Lilaeopsis chinensis (L.) Kuntze,75
2008,fall panicgrass,Panicum dichotomiflorum Michx.,72
2008,false daisy,Eclipta prostrata (L.) L.,75
2008,fern flatsedge,Cyperus filicinus Vahl,78
2008,fiveangled dodder,Cuscuta pentagona Engelm.,98
2008,fragrant flatsedge,Cyperus odoratus L.,85
2008,Gulf Coast spikerush,Eleocharis cellulosa Torr.,55
2008,gulf coast swallow-wort,Cynanchum angustifolium Pers.,98
2008,hairypod cowpea,Vigna luteola (Jacq.) Benth.,70
2008,haspan flatsedge,Cyperus haspan L.,75
2008,herb of grace,Bacopa monnieri (L.) Pennell,54
2008,Jesuit's bark,Iva frutescens L.,78
2008,large-flower primrose-willow,Ludwigia grandiflora (Michx.) Greuter & Burdet,75
2008,longbeak arrowhead,Sagittaria australis (J.G. Sm.) Small,30
2008,Malabar sprangletop,Leptochloa fusca (L.) Kunth,75
2008,marsh bristlegrass,Setaria parviflora (Poir.) Kergu?len,95
2008,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,77
2008,needlegrass rush,Juncus roemerianus Scheele,76
2008,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,78
2008,pigweed,Amaranthus L.,84
2008,poisonbean,Sesbania drummondii (Rydb.) Cory,75
2008,rose of Plymouth,Sabatia stellaris Pursh,78
2008,saltgrass,Distichlis Raf.,78
2008,saltgrass,Distichlis spicata (L.) Greene,73
2008,saltmarsh morning-glory,Ipomoea sagittata Poir.,81
2008,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,77
2008,seashore paspalum,Paspalum vaginatum Sw.,77
2008,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,85
2008,silverhead,Blutaparon vermiculare (L.) Mears,90
2008,smooth cordgrass,Spartina alterniflora Loisel.,76
2008,smooth violet prairie aster,Symphyotrichum turbinellum (Lindl.) G.L. Nesom,85
2008,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,55
2008,southern amaranth,Amaranthus australis (A. Gray) Sauer,76
2008,spikerush,Eleocharis R. Br.,95
2008,strawcolored flatsedge,Cyperus strigosus L.,78
